Catalog,Cabinet_section,Cabinet_label,SKU,Cabinet_color,Weight,Cost,Details,Manufacture_date,Image,Quantity,Assemble_cost
ARTSTAR,"Base Cabinets","Base Corner Cabinet 27"" W",A-BBC36,"Shaker White",70,734,"W27"" D24"" H34 1/2""",,BBC36.PNG,0,25
ARTSTAR,"Base Cabinets","Base Corner Cabinet 39"" W",A-BBC42,"Shaker White",87,945,"W39"" D24"" H34 1/2""",,BBC42.PNG,1,25
ARTSTAR,"Base Cabinets","Base Lazy Susan 33"" W",A-BLS33,"Shaker White",89,933,"W33"" D24"" H34 1/2""",,LSB33.PNG,9,30
ARTSTAR,"Base Cabinets","Base Lazy Susan 36"" W",A-BLS36,"Shaker White",99,1520,"W36"" D24"" H34 1/2""",,LSB36.PNG,12,30
ARTSTAR,"Base Cabinets","Base End Cabinet",A-BEC24,"Shaker White",76,702,"W24"" D24"" H34 1/2""",,BEC24.PNG,10,20
ARTSTAR,"Base Cabinets","Base Waste Basket",A-BWB18,"Shaker White",78,1060,"W18"" D24"" H34 1/2""",,BWB18.PNG,9,25
ARTSTAR,"Base Cabinets","Base Microwave Cabinet",A-MB33,"Shaker White",92,892,"W33"" D24"" H34 1/2""",,Base_Microwave.PNG,0,25
ARTSTAR,"Base Cabinets","Base End Shelf",A-BES12,"Shaker White",42,483,"W12"" D24"" H34 1/2""",,BES12.PNG,10,25
ARTSTAR,"Wall Cabinets","Wall Cabinet 30"" W x 12"" H",A-W3012,"Shaker White",30,342,"W30"" D12"" H12""",,W3012.PNG,0,20
ARTSTAR,"Wall Cabinets","Wall Cabinet 36"" W x 12"" H",A-W3612,"Shaker White",34,378,"W36"" D12"" H12""",,W3612.PNG,21,20
ARTSTAR,"Wall Cabinets","Wall Cabinet 30"" W x 15"" H",A-W3015,"Shaker White",34,423,"W30"" D12"" H15""",,W3015.PNG,0,20
ARTSTAR,"Wall Cabinets","Wall Cabinet 36"" W x 15"" H",A-W3615,"Shaker White",38,446,"W36"" D12"" H15""",,W3615.PNG,13,20
