Catalog,Cabinet_section,Cabinet_label,SKU,Cabinet_color,Weight,Cost,Details,Manufacture_date,Image,Quantity,Assemble_cost
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Two-Tier Cutlery Drawer & Glideware Pullout",KET-B18TTCD-GDPO,"Essex Truffle",66.8,1448,"Essex Truffle 18"" Base w/ Two-Tier Cutlery Drawer & Glideware Pullout",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Cutlery Tray & Tray Divider",KET-B18CTRY-TDIV,"Essex Truffle",52.8,767,"Essex Truffle 18"" Base w/ Cutlery Tray & Tray Divider",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 15"" Base w/ Cutlery Tray & Tray Divider",KET-B15CTRY-TDIV,"Essex Truffle",50,727,"Essex Truffle 15"" Base w/ Cutlery Tray & Tray Divider",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 12"" Base w/ Cutlery Tray & Tray Divider",KET-B12CTRY-TDIV,"Essex Truffle",44.5,689,"Essex Truffle 12"" Base w/ Cutlery Tray & Tray Divider",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 12"" Base w/ Utensil Tray & Tray Divider",KET-B12UTRY-TDIV,"Essex Truffle",45.5,761,"Essex Truffle 12"" Base w/ Utensil Tray & Tray Divider",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 15"" Base w/ Utensil Tray & Tray Divider",KET-B15UTRY-TDIV,"Essex Truffle",51,799,"Essex Truffle 15"" Base w/ Utensil Tray & Tray Divider",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Utensil Tray & Tray Divider",KET-B18UTRY-TDIV,"Essex Truffle",53.8,839,"Essex Truffle 18"" Base w/ Utensil Tray & Tray Divider",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 21"" Base w/ Utensil Tray & Tray Divider",KET-B21UTRY-TDIV,"Essex Truffle",58.2,874,"Essex Truffle 21"" Base w/ Utensil Tray & Tray Divider",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 12"" Base w/ Spice Tray & Tray Divider",KET-B12STRY-TDIV,"Essex Truffle",58.2,806,"Essex Truffle 12"" Base w/ Spice Tray & Tray Divider",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 15"" Base w/ Spice Tray & Tray Divider",KET-B15STRY-TDIV,"Essex Truffle",51,844,"Essex Truffle 15"" Base w/ Spice Tray & Tray Divider",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Spice Tray & Tray Divider",KET-B18STRY-TDIV,"Essex Truffle",53.8,864,"Essex Truffle 18"" Base w/ Spice Tray & Tray Divider",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 21"" Base w/ Spice Tray & Tray Divider",KET-B21STRY-TDIV,"Essex Truffle",58.2,919,"Essex Truffle 21"" Base w/ Spice Tray & Tray Divider",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Cutlery Tray & Glideware Pullout",KET-B18CTRY-GDPO,"Essex Truffle",63.8,1055,"Essex Truffle 18"" Base w/ Cutlery Tray & Glideware Pullout",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 15"" Base w/ Cutlery Tray & Glideware Pullout",KET-B15CTRY-GDPO,"Essex Truffle",61,1015,"Essex Truffle 15"" Base w/ Cutlery Tray & Glideware Pullout",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 12"" Base w/ Cutlery Tray & Glideware Pullout",KET-B12CTRY-GDPO,"Essex Truffle",55.5,977,"Essex Truffle 12"" Base w/ Cutlery Tray & Glideware Pullout",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 12"" Base w/ Utensil Tray & Glideware Pullout",KET-B12UTRY-GDPO,"Essex Truffle",56.5,1049,"Essex Truffle 12"" Base w/ Utensil Tray & Glideware Pullout",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 15"" Base w/ Utensil Tray & Glideware Pullout",KET-B15UTRY-GDPO,"Essex Truffle",62,1087,"Essex Truffle 15"" Base w/ Utensil Tray & Glideware Pullout",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Utensil Tray & Glideware Pullout",KET-B18UTRY-GDPO,"Essex Truffle",64.8,1127,"Essex Truffle 18"" Base w/ Utensil Tray & Glideware Pullout",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 21"" Base w/ Utensil Tray & Glideware Pullout",KET-B21UTRY-GDPO,"Essex Truffle",69.2,1162,"Essex Truffle 21"" Base w/ Utensil Tray & Glideware Pullout",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 12"" Base w/ Spice Tray & Glideware Pullout",KET-B12STRY-GDPO,"Essex Truffle",55.5,1094,"Essex Truffle 12"" Base w/ Spice Tray & Glideware Pullout",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 15"" Base w/ Spice Tray & Glideware Pullout",KET-B15STRY-GDPO,"Essex Truffle",61,1132,"Essex Truffle 15"" Base w/ Spice Tray & Glideware Pullout",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Spice Tray & Glideware Pullout",KET-B18STRY-GDPO,"Essex Truffle",63.8,1172,"Essex Truffle 18"" Base w/ Spice Tray & Glideware Pullout",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 21"" Base w/ Spice Tray & Glideware Pullout",KET-B21STRY-GDPO,"Essex Truffle",68.2,1162,"Essex Truffle 21"" Base w/ Spice Tray & Glideware Pullout",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Two-Tier Cutlery Drawer & Door Mounted Trash",KET-B18TTCD-TR-DMK,"Essex Truffle",70.8,1572,"Essex Truffle 18"" Base w/ Two-Tier Cutlery Drawer & Door Mounted Trash",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Two-Tier Cutlery Drawer & Trash",KET-B18TTCD-TR,"Essex Truffle",68.8,1494,"Essex Truffle 18"" Base w/ Two-Tier Cutlery Drawer & Trash",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Two-Tier Cutlery Drawer & Soft-Close Trash",KET-B18TTCD-SFTTR-DMK,"Essex Truffle",82.8,2003,"Essex Truffle 18"" Base w/ Two-Tier Cutlery Drawer & Soft-Close Trash",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Cutlery Tray & Trash",KET-B18CTRY-TR,"Essex Truffle",61.8,1101,"Essex Truffle 18"" Base w/ Cutlery Tray & Trash",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Cutlery Tray & Door Mounted Trash",KET-B18CTRY-TR-DMK,"Essex Truffle",63.8,1179,"Essex Truffle 18"" Base w/ Cutlery Tray & Door Mounted Trash",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Cutlery Tray & Soft-Close Trash",KET-B18CTRY-SFTTR-DMK,"Essex Truffle",75.8,1610,"Essex Truffle 18"" Base w/ Cutlery Tray & Soft-Close Trash",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Utensil Tray & Trash",KET-B18UTRY-TR,"Essex Truffle",62.8,1173,"Essex Truffle 18"" Base w/ Utensil Tray & Trash",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Utensil Tray & Door Mounted Trash",KET-B18UTRY-TR-DMK,"Essex Truffle",64.8,1251,"Essex Truffle 18"" Base w/ Utensil Tray & Door Mounted Trash",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Utensil Tray & Soft-Close Trash",KET-B18UTRY-SFTTR-DMK,"Essex Truffle",76.8,1682,"Essex Truffle 18"" Base w/ Utensil Tray & Soft-Close Trash",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Spice Tray & Trash",KET-B18STRY-TR,"Essex Truffle",61.8,1218,"Essex Truffle 18"" Base w/ Spice Tray & Trash",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Spice Tray & Door Mounted Trash",KET-B18STRY-TR-DMK,"Essex Truffle",63.8,1296,"Essex Truffle 18"" Base w/ Spice Tray & Door Mounted Trash",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Spice Tray & Soft-Close Trash",KET-B18STRY-SFTTR-DMK,"Essex Truffle",75.8,1727,"Essex Truffle 18"" Base w/ Spice Tray & Soft-Close Trash",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 15"" Base w/ Cutlery Tray & Soft-Close Trash",KET-B15CTRY-SFTTR-DMK,"Essex Truffle",75,1539,"Essex Truffle 15"" Base w/ Cutlery Tray & Soft-Close Trash",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 15"" Base w/ Utensil Tray & Soft-Close Trash",KET-B15UTRY-SFTTR-DMK,"Essex Truffle",76,1611,"Essex Truffle 15"" Base w/ Utensil Tray & Soft-Close Trash",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 15"" Base w/ Spice Tray & Soft-Close Trash",KET-B15STRY-SFTTR-DMK,"Essex Truffle",75,1656,"Essex Truffle 15"" Base w/ Spice Tray & Soft-Close Trash",,,100,20
