Catalog,Cabinet_section,Cabinet_label,SKU,Cabinet_color,Weight,Cost,Details,Manufacture_date,Image,Quantity,Assemble_cost
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 42"" H",SG-W2142,"Shaker Gray",60,464.4,"42"" High Cabinet 1 Door, 3 Shelves",,W2142.PNG,97,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 12"" H",SG-W2412GD,"Shaker Gray",16,192,"Glass Door Cabinet - Single Door",,W2412GD.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 18"" H",SG-W2418,"Shaker Gray",28,316.8,"18"" High Cabinet 1 Door, 2 Shelves",,W2418.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 30"" H",SG-W2430,"Shaker Gray",52,416.4,"30"" High Cabinet 2 Doors, - 2 Shelves",,W2430.PNG,96,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 30"" H",SG-W2430GD,"Shaker Gray",51,469.2,"Glass Wall Door Cabinet - Double Door",,W2430GD.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 36"" H",SG-W2436,"Shaker Gray",59,448.8,"36"" High Cabinet Double Door - 2 Shelves",,W2436.PNG,99,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 36"" H",SG-W2436GD,"Shaker Gray",59,488.4,"Glass Wall Door Cabinet - Double Door",,W2436GD.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 42"" H",SG-W2442,"Shaker Gray",68,524.4,"42"" Wall Cabinet Double Door - 3 Shelves",,W2442.PNG,95,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 42"" H",SG-W2442GD,"Shaker Gray",60,579.6,"Glass Door Cabinet - Double Door",,W2442GD.PNG,98,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 12"" H",SG-W2712GD,"Shaker Gray",18,206.4,"Glass Door Cabinet - Single Door",,W2712GD.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 30"" H",SG-W2730,"Shaker Gray",56,445.2,"30"" Wall Cabinet Double Door - 2 Shelves",,W2730.PNG,99,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 36"" H",SG-W2736,"Shaker Gray",64,482.4,"36"" Wall Cabinet Double Door - 2 Shelves",,W2736.PNG,99,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 42"" H",SG-W2742,"Shaker Gray",74,571.2,"42"" High Cabinet Double Door - 3 Shelves",,W2742.PNG,98,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 12"" H",SG-W3012,"Shaker Gray",30,271.2,"30"" Bridge Cabinet",,W3012.PNG,98,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 12"" H",SG-W301224,"Shaker Gray",30,351.6,"30"" Refrigerator Wall Cabinet",,W301224.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 12"" H",SG-W3012GD,"Shaker Gray",20,295.2,"Glass Door Cabinet - Single Door",,W3012GD.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 15"" H",SG-W3015,"Shaker Gray",25,298.8,"30"" Bridge Cabinet",,W3015.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 15"" H",SG-W301524,"Shaker Gray",33,381.6,"30"" Refrigerator Wall Cabinet",,W301524.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 18"" H",SG-W3018,"Shaker Gray",30,338.4,"30"" Bridge Cabinet",,W3018.PNG,98,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 18"" H",SG-W301824,"Shaker Gray",37,424.8,"30"" Refrigerator Wall Cabinet",,W301824.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 18"" H",SG-W3018GD,"Shaker Gray",22,372,"Glass Door Cabinet - Single Door",,W3018GD.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 24"" H",SG-W3024,"Shaker Gray",30,408,"30"" Bridge Cabinet",,W3024.PNG,95,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 24"" H",SG-W302424,"Shaker Gray",53,512.4,"30"" Refrigerator Wall Cabinet",,W302424.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 30"" H",SG-W3030,"Shaker Gray",60,498,"30"" Wall Cabinet Double Door - 2 Shelves",,W3030.PNG,76,20
